,country__name,location,n,name
659,Mexico,SRID=4326;POINT (-103.38479 20.72356),1,Zapopan
660,United Kingdom,SRID=4326;POINT (-1.47663 52.92277),1,Derby
661,United States,SRID=4326;POINT (-94.41551 39.09112),1,Independence
662,Algeria,SRID=4326;POINT (2.84244 36.71169),1,Zeralda
663,Iran,SRID=4326;POINT (52.53113 29.61031),1,Shiraz
664,Philippines,SRID=4326;POINT (125.09889 7.73028),1,Quezon
665,United States,SRID=4326;POINT (-90.18481 32.29876),1,Jackson
666,United States,SRID=4326;POINT (-93.09327 44.94441),1,Saint Paul
667,Philippines,SRID=4326;POINT (123.89071 10.31672),1,Cebu City
668,Ghana,SRID=4326;POINT (-0.85139 10.78556),1,Bolgatanga
669,United States,SRID=4326;POINT (-91.15455 30.45075),1,Baton Rouge
670,United States,SRID=4326;POINT (-122.28553 38.29714),1,Napa
671,Mexico,SRID=4326;POINT (-115.45446 32.62781),1,Mexicali
672,China,SRID=4326;POINT (118.18333 39.63333),1,Tangshan
673,United States,SRID=4326;POINT (-122.20068 47.61038),1,Bellevue
674,Belgium,SRID=4326;POINT (5.33781 50.93106),1,Hasselt
675,Switzerland,SRID=4326;POINT (9.532870000000001 46.84986),1,Chur
676,Greece,SRID=4326;POINT (22.9513 37.94007),1,Kórinthos
677,Iran,SRID=4326;POINT (48.3043 30.3392),1,Abadan
678,China,SRID=4326;POINT (119.58833 39.93167),1,Qinhuangdao
679,United States,SRID=4326;POINT (-96.66696 40.8),1,Lincoln
680,Saudi Arabia,SRID=4326;POINT (36.57151 28.3998),1,Tabuk
681,Germany,SRID=4326;POINT (9.5 51.31667),1,Kassel
682,United Kingdom,SRID=4326;POINT (-2.34848 53.38752),1,Altrincham
683,United States,SRID=4326;POINT (-73.45401 41.39482),1,Danbury
684,Brazil,SRID=4326;POINT (-49.14083 -14.52472),1,Uruaçu
685,Republic of the Congo,SRID=4326;POINT (15.28318 -4.26613),1,Brazzaville
686,China,SRID=4326;POINT (108.31667 22.81667),1,Nanning
687,Spain,SRID=4326;POINT (-4.6586 37.2087),1,Alameda
688,Portugal,SRID=4326;POINT (-16.92547 32.66568),1,Funchal
689,India,SRID=4326;POINT (77.16661999999999 31.10442),1,Shimla
690,United States,SRID=4326;POINT (-82.28592 27.9378),1,Brandon
691,Spain,SRID=4326;POINT (-4.77275 37.89155),1,Córdoba
